Date,Type,Category,Amount,Account,Month
2024-01-22,Expense,Rent,15315,Credit Card,Jan-2024
2024-08-17,Expense,Entertainment,5202,Wallet,Aug-2024
2024-05-15,Expense,Rent,10972,UPI,May-2024
2024-07-14,Expense,Rent,1302,UPI,Jul-2024
2024-11-27,Income,Salary,26088,Wallet,Nov-2024
2024-02-22,Investment,Stocks,7191,Bank,Feb-2024
2024-07-01,Investment,Gold,14031,UPI,Jul-2024
2024-01-29,Expense,Shopping,3529,UPI,Jan-2024
2024-12-21,Expense,Groceries,1098,Credit Card,Dec-2024
2024-12-02,Income,Bonus,70847,Credit Card,Dec-2024
2024-07-18,Investment,Gold,7895,UPI,Jul-2024
2024-04-14,Expense,Utilities,13538,Bank,Apr-2024
2024-11-15,Expense,Dining,1358,Bank,Nov-2024
2024-12-04,Investment,Stocks,36000,Credit Card,Dec-2024
2024-10-27,Expense,Shopping,13517,UPI,Oct-2024
2024-12-15,Expense,Entertainment,9025,Wallet,Dec-2024
2024-04-16,Income,Salary,74233,UPI,Apr-2024
2024-06-03,Income,Bonus,8066,Bank,Jun-2024
2024-11-28,Expense,Entertainment,11022,Credit Card,Nov-2024
2024-01-27,Expense,Dining,6516,Bank,Jan-2024
2024-08-09,Investment,Mutual Funds,10512,Wallet,Aug-2024
2024-09-13,Expense,Rent,8504,Wallet,Sep-2024
2024-03-28,Expense,Transport,1920,Credit Card,Mar-2024
2024-01-06,Expense,Rent,15899,Wallet,Jan-2024
2024-04-30,Expense,Utilities,3775,UPI,Apr-2024
2024-05-26,Income,Salary,91033,Credit Card,May-2024
2024-08-19,Expense,Utilities,14097,Wallet,Aug-2024
2024-03-27,Expense,Rent,7503,Bank,Mar-2024
2024-04-14,Investment,Gold,43553,Wallet,Apr-2024
2024-04-25,Expense,Shopping,5647,UPI,Apr-2024
2024-05-10,Expense,Utilities,18499,Wallet,May-2024
2024-02-23,Investment,Stocks,1443,Bank,Feb-2024
2024-11-11,Expense,Groceries,13472,Bank,Nov-2024
2024-09-10,Investment,Stocks,28398,Bank,Sep-2024
2024-02-16,Expense,Entertainment,960,Wallet,Feb-2024
2024-08-25,Investment,Mutual Funds,2770,UPI,Aug-2024
2024-10-10,Expense,Entertainment,12887,Credit Card,Oct-2024
2024-05-12,Investment,Stocks,44800,Bank,May-2024
2024-02-02,Expense,Entertainment,13875,Wallet,Feb-2024
2024-11-29,Expense,Entertainment,7769,Bank,Nov-2024
2024-07-07,Expense,Dining,12666,UPI,Jul-2024
2024-10-02,Investment,Gold,2668,Wallet,Oct-2024
2024-01-22,Expense,Entertainment,2613,Bank,Jan-2024
2024-03-31,Expense,Dining,9504,UPI,Mar-2024
2024-03-12,Expense,Rent,18092,Credit Card,Mar-2024
2024-10-14,Income,Interest,77349,UPI,Oct-2024
2024-02-18,Expense,Entertainment,820,Bank,Feb-2024
2024-12-13,Expense,Groceries,1077,Bank,Dec-2024
2024-09-05,Expense,Entertainment,5541,Credit Card,Sep-2024
2024-10-25,Expense,Entertainment,5294,UPI,Oct-2024
2024-08-19,Expense,Dining,4614,Wallet,Aug-2024
2024-10-14,Expense,Utilities,1933,Bank,Oct-2024
2024-11-12,Income,Freelance,46517,Credit Card,Nov-2024
2024-01-01,Income,Freelance,25883,Credit Card,Jan-2024
2024-12-13,Investment,Stocks,11621,UPI,Dec-2024
2024-05-17,Expense,Shopping,1917,Wallet,May-2024
2024-11-05,Expense,Rent,2684,Credit Card,Nov-2024
2024-10-11,Investment,Stocks,9114,Credit Card,Oct-2024
2024-02-18,Expense,Utilities,6590,Bank,Feb-2024
2024-01-11,Expense,Rent,4268,UPI,Jan-2024
2024-04-17,Expense,Shopping,8892,Wallet,Apr-2024
2024-09-17,Income,Salary,85888,Credit Card,Sep-2024
2024-04-04,Investment,Stocks,41147,UPI,Apr-2024
2024-01-27,Expense,Groceries,999,Wallet,Jan-2024
2024-01-21,Investment,Stocks,2167,UPI,Jan-2024
2024-12-08,Expense,Entertainment,7281,UPI,Dec-2024
2024-09-28,Income,Salary,63283,Wallet,Sep-2024
2024-10-07,Expense,Groceries,19744,UPI,Oct-2024
2024-10-08,Expense,Entertainment,13594,Bank,Oct-2024
2024-03-01,Expense,Rent,15607,Wallet,Mar-2024
2024-10-25,Income,Interest,6965,Credit Card,Oct-2024
2024-02-10,Investment,FD,17985,Credit Card,Feb-2024
2024-12-04,Expense,Rent,17705,UPI,Dec-2024
2024-07-08,Income,Freelance,97918,UPI,Jul-2024
2024-10-21,Expense,Groceries,11598,Bank,Oct-2024
2024-01-19,Expense,Transport,15869,Bank,Jan-2024
2024-02-15,Expense,Groceries,5038,Bank,Feb-2024
2024-03-11,Expense,Utilities,14616,Wallet,Mar-2024
2024-03-08,Expense,Rent,5593,UPI,Mar-2024
2024-04-16,Investment,Mutual Funds,47472,Bank,Apr-2024
2024-04-07,Expense,Transport,8340,Credit Card,Apr-2024
2024-11-14,Investment,Mutual Funds,2346,Wallet,Nov-2024
2024-07-22,Expense,Rent,19864,Wallet,Jul-2024
2024-11-11,Expense,Transport,13791,UPI,Nov-2024
2024-06-01,Income,Bonus,56064,Credit Card,Jun-2024
2024-09-07,Income,Freelance,29937,Wallet,Sep-2024
2024-03-08,Investment,Mutual Funds,27461,Credit Card,Mar-2024
2024-04-17,Income,Interest,70225,UPI,Apr-2024
2024-06-17,Expense,Utilities,5921,UPI,Jun-2024
2024-12-01,Income,Interest,65120,Wallet,Dec-2024
2024-08-27,Income,Freelance,28031,Wallet,Aug-2024
2024-05-14,Expense,Utilities,6831,Wallet,May-2024
2024-10-10,Expense,Rent,19411,Bank,Oct-2024
2024-10-04,Expense,Dining,13718,Credit Card,Oct-2024
2024-11-17,Investment,Stocks,42304,Credit Card,Nov-2024
2024-02-28,Investment,Mutual Funds,16118,Wallet,Feb-2024
2024-07-26,Expense,Dining,15502,UPI,Jul-2024
